chromosome,length_mm,basepairs,variations,protein_codinggenes,pseudo_genes,totallongnc_rna,totalsmallnc_rna,mi_rna,r_rna,sn_rna,sno_rna,miscnc_rna,centromereposition_mbp
1,85,248956422,12151146,2058,1220,1200,496,134,66,221,145,192,125
2,83,242193529,12945965,1309,1023,1037,375,115,40,161,117,176,93.3
3,67,198295559,10638715,1078,763,711,298,99,29,138,87,134,91
4,65,190214555,10165685,752,727,657,228,92,24,120,56,104,50.4
5,62,181538259,9519995,876,721,844,235,83,25,106,61,119,48.4
6,58,170805979,9130476,1048,801,639,234,81,26,111,73,105,61
7,54,159345973,8613298,989,885,605,208,90,24,90,76,143,59.9
8,50,145138636,8221520,677,613,735,214,80,28,86,52,82,45.6
9,48,138394717,6590811,786,661,491,190,69,19,66,51,96,49
10,46,133797422,7223944,733,568,579,204,64,32,87,56,89,40.2
11,46,135086622,7535370,1298,821,710,233,63,24,74,76,97,53.7
12,45,133275309,7228129,1034,617,848,227,72,27,106,62,115,35.8
13,39,114364328,5082574,327,372,397,104,42,16,45,34,75,17.9
14,36,107043718,4865950,830,523,533,239,92,10,65,97,79,17.6
15,35,101991189,4515076,613,510,639,250,78,13,63,136,93,19
16,31,90338345,5101702,873,465,799,187,52,32,53,58,51,36.6
17,28,83257441,4614972,1197,531,834,235,61,15,80,71,99,24
18,27,80373285,4035966,270,247,453,109,32,13,51,36,41,17.2
19,20,58617616,3858269,1472,512,628,179,110,13,29,31,61,26.5
20,21,64444167,3439621,544,249,384,131,57,15,46,37,68,27.5
21,16,46709983,2049697,234,185,305,71,16,5,21,19,24,13.2
22,17,50818468,2135311,488,324,357,78,31,5,23,23,62,14.7
X,53,156040895,5753881,842,874,271,258,128,22,85,64,100,60.6
Y,20,57227415,211643,71,388,71,30,15,7,17,3,8,12.5
